Group_ID,Street,City,State,ZIP_Code,Age,Members,Estimated Revenue
120,65 Central Park West,New York,NY,10023,69,755,"$5,542,500"
210,969 N Mason Rd,St. Louis,MO,63141,71,459,"$1,162,200"
54,8635 West Third Street,Los Angeles,CA,90048,82,2,"$4,400"
100,100 E Valencia Mesa Dr,Fullerton,CA,92835,88,181,"$744,000"
2,4700 E Hale Pkwy,Denver,CO,80220,78,657,"$3,942,000"
46,45 Castro St. Suite 227,San Francisco,CA,94114,70,404,"$912,594"
64,8635 West Third Street,Los Angeles,CA,90048,84,29,"$108,500"
199,144 E 2nd St Ste 101,Whitefish,MT,59937,79,56,$0
104,1920 L St NW,Washington,DC,20036,72,163,"$252,450"
17,5415 W Genesee St.,Camillus,NY,13031,67,466,"$1,238,017"
201,14901 National Ave.,Los Gatos,CA,95032,84,9,"$14,000"
215,39 Kent Rd.,Tifton,GA,31794,63,672,"$1,065,900"
39,2085 S. Pacheco St,Santa Fe,NM,87505,56,955,"$4,642,000"
159,5525 Etiwanda Ave.,Tarzana,CA,91356,77,316,"$855,000"
130,301 Maple Ave W,Vienna,VA,22180,70,305,"$520,200"
73,8920 Wilshire Blvd.,Beverly Hills,CA,90211,69,227,"$885,500"
200,405 Frederick Rd,Catonsville,MD,21228,67,327,"$551,100"
76,2535 Kirby Dr 2nd Floor,Houston,TX,77019,59,628,"$1,337,600"
61,1410 Highland Ave Ste 202,Needham,MA,2492,86,115,
92,3401 Greenbriar Dr.,Midland,TX,79707,58,490,"$901,800"
234,5530 Wisconsin Ave,Chevy Chase,MD,20815,73,493,"$1,099,216"
188,1830 Town Center Dr,Reston,VA,20190,76,279,"$543,816"
164,10 Old Montgomery Hwy,Birmingham,AL,35209,80,161,"$268,109"
170,2700 Quarry Lake Drive,Baltimore,MD,21209,65,326,"$653,268"
49,547 North Justice Street,Hendersonville,NC,28739,72,253,"$570,000"
165,2501 Charles Street,Fredericksburg,VA,22401,66,609,"$1,219,520"
245,5530 Wisconsin Ave,Chevy Chase,MD,20815,72,459,"$1,011,563"
221,"901 Boren Ave., Cabrini Tower",Seattle,WA,98104,71,172,"$219,450"
133,1408 N Florence Ave,Claremore,OK,74017,74,59,"$93,600"
165,2525 10th St. N,Arlington,VA,22201,68,363,"$745,514"
21,185 West End Avenue,New York,NY,10023,68,433,"$1,568,175"
43,2410 Crockett Dr.,Brownwood,TX,76801,77,27,"$34,398"
44,2323 De La Vina Street,Santa Barbara,CA,93105,75,362,"$999,600"
217,18840 Ventura Blvd Ste 207,Tarzana,CA,91356,67,308,
30,2085 South Pacheco St.,Santa Fe,NM,87505,63,259,"$121,000"
115,500 Healthwest Drive,Dothan,AL,36303,68,403,"$749,250"
88,1408 N Florence Ave,Claremore,OK,74017,75,16,"$18,000"
146,1120 19th Street NW,Washington,DC,20036,75,202,"$462,500"
206,1428 Manoa Road,Wynnewood,PA,19096,73,315,"$538,115"
48,65 Broadway,New York,NY,10006,74,305,"$661,752"
250,12961 Village Dr.,Saratoga,CA,95070,70,22,"$38,000"
197,5454 Wisconsin Avenue,Chevy Chase,MD,20815,59,477,"$1,515,000"
135,12495 Valley View Street,Garden Grove,CA,92845,72,367,"$791,200"
62,4002 Kresge Way,Louisville,KY,40207,72,274,"$645,975"
131,5525 Etiwanda Ave.,Tarzana,CA,91356,68,315,"$612,500"
152,2622 Jena Street,New Orleans,LA,70115,76,177,"$301,622"
196,30 East 60th Street,New York,NY,10022,72,316,"$1,016,301"
143,6292 E Grant Rd,Tucson,AZ,85712,72,271,$0
257,608 S Hester St,Stillwater,OK,74074,47,36,"$34,500"
14,108 Knells Ridge Blvd,Chesapeake,VA,23320,64,173,"$353,500"
208,4801 Wisconsin Ave NW,Washington,DC,20016,67,225,"$951,720"
224,226 S Woods Mill Rd.,Chesterfield,MO,63017,50,497,"$1,163,800"
139,7459 E. Tanque Verde Rd.,Tucson,AZ,85715,63,475,"$1,117,694"
227,2535 Kirby Dr 2nd Floor,Houston,TX,77019,57,414,"$994,000"
202,3200 Tower Oaks Blvd.,Rockville,MD,20852,63,555,"$1,046,995"
203,500 Healthwest Drive,Dothan,AL,36303,72,250,"$426,650"
102,14901 National Ave,Los Gatos,CA,95032,51,105,"$1,228,252"
116,7301 Medical Center Dr.,West Hills,CA,91307,69,106,"$147,600"
240,15200 Southwest Fwy.,Sugar Land,TX,77478,72,47,"$72,000"
1,1330 SE 4th Ave.,Ft. Lauderdale,FL,33316,62,156,"$461,776"
97,80 5th Ave,New York,NY,10011,69,292,"$1,032,214"
50,900 NW 13th Street,Boca Raton,FL,33486,67,325,"$911,468"
242,9220 Haven Ave.,Rancho Cucamonga,CA,91730,72,184,"$772,560"
191,14 Oak Forest Road,Bluffton,SC,29910,68,342,"$715,629"
21,185 West End Ave,New York,NY,10023,68,314,"$1,067,080"
180,4119 Browns Ln.,Louisville,KY,40220,70,115,"$232,780"
169,320 Santa Fe Dr,Encinitas,CA,92024,72,126,"$302,400"
3,604 South Frederick Ave,Gaithersburg,MD,20877,72,134,"$219,600"
138,700 S Broadway St.,Blanchester,OH,45107,65,144,"$271,680"
149,80 5th Ave,New York,NY,10011,68,336,"$1,196,912"
162,226 S Woods Mill Rd.,Chesterfield,MO,63017,64,111,"$592,200"
256,7486 N. La Cholla Boulevard,Tucson,AZ,85741,69,150,"$302,400"
